no,name,date,architect,location,grade,nhle_list_entry,ngr,easting,northing,latitude,longitude,materials,description,how_to_date_it
11,Bodiam Castle,1385 to c.1390,"Built for Sir Edward Dallingridge, mason unknown","Bodiam, Robertsbridge, East Sussex TN32 5UA",I,1044134,TQ 78554 25645,578554,125645,51.00249,0.54347,"Ashlar sandstone quarried locally, on a rubble core","A quadrangular castle built in one campaign after a licence to crenellate of 1385, ostensibly against French raiding. Modern scholarship reads it as a knight's retirement showpiece: the moat is shallow and ornamental, the gunports are decorative as much as functional, and the whole was designed to be approached along a processional causeway with the reflection doing the work. Internally the ranges are laid out around a courtyard with separate suites for household and retinue, a very late fourteenth century concern with privacy. The keyhole gunloops are among the earliest in England.","One build, no phasing, square plan with round corner towers and square intermediate towers. Machicolation over the gatehouse and keyhole gunports together give a window of roughly 1370 to 1400."
12,"King's College Chapel, Cambridge",1446 to 1515,"Reginald Ely, then Simon Clerk and John Wastell; fan vault 1512 to 1515 by Wastell","King's Parade, Cambridge CB2 1ST",I,1139003,TL 44728 58395,544728,258395,52.20478,0.1165,"Yorkshire magnesian limestone from Huddleston, later Weldon and Clipsham stone","The climax of English Perpendicular and the largest fan vault in the world, 88 metres long and unsupported by any intermediate pier. Founded by Henry VI in 1441, the work stopped during the Wars of the Roses and was finished under Henry VII and Henry VIII, so the building spans three quarters of a century and two dynasties. The walls are effectively a glass cage between buttresses, with 26 windows of early sixteenth century Flemish glass. The Tudor heraldry on the antechapel screen dates that phase precisely to about 1508 to 1515.","Fan vaulting, four centred arches and window mullions running straight into the arch head are Perpendicular. Where the stone changes colour partway up the walls you can see the break between the fifteenth and sixteenth century campaigns."
13,Little Moreton Hall,"c.1504 to 1610, long gallery c.1560 to 1562","Built for the Moreton family; carpenter Richard Dale, named on a 1559 inscription","Congleton, Cheshire CW12 4SD",I,1161988,SJ 83249 58922,383249,358922,53.1272,-2.25179,"Oak timber frame with wattle and daub infill on a sandstone plinth, stone flag and lead roofs","The most extravagant surviving timber framed manor house in England, added to piecemeal over a century and now visibly sagging in every direction because the long gallery was built on top of a structure that was never designed to carry it. The framing is close studded on the earlier ranges and decorated with quatrefoils, lozenges and chevrons on the later, a display of expensive timber used ornamentally. The gatehouse range of 1559 to 1562 carries a carved inscription naming the carpenter and the patron, which is unusually precise documentary dating.","Close studding with narrow panels is early sixteenth century and expensive. Decorative quatrefoil and herringbone panels, jettied upper floors and continuous bay windows indicate the 1550s to 1570s. Dendrochronology has confirmed the sequence."
14,Hampton Court Palace,1515 onward; Baroque ranges 1689 to 1694,Begun for Cardinal Wolsey; Great Hall 1532 to 1535 under James Nedeham; east and south ranges by Sir Christopher Wren,"East Molesey, Richmond upon Thames, Surrey KT8 9AU",I,1193127,TQ 15739 68461,515739,168461,51.40338,-0.3375,"Red brick with dark blue diaper patterning, Reigate and Caen stone dressings; later Portland stone and rubbed red brick","Two palaces in one, and the best place in England to read the difference between Tudor and English Baroque. Wolsey's and Henry VIII's ranges are red brick with diaper diamonds, twisted moulded chimneystacks, crenellation and a great hall with a hammerbeam roof of 1532 to 1535. Wren's east and south fronts of 1689 to 1694 for William and Mary are utterly regular: Portland stone dressings, round headed windows, a giant order of pilasters and a strict horizontal cornice. The join between the two is abrupt and completely unapologetic.","Diaper brickwork, moulded terracotta and barley twist chimneys mean 1500 to 1550. Rubbed brick, sash windows, keystones and a balustraded parapet mean the 1690s. The astronomical clock is dated 1540."
15,Layer Marney Tower,c.1520 to 1525,"Built for Henry, 1st Lord Marney; terracotta by Italian trained craftsmen","Layer Marney, Colchester, Essex CO5 9US",I,1223988,TL 92851 17480,592851,217480,51.82265,0.7969,"Red brick with moulded terracotta dressings, cresting and window mullions","The tallest Tudor gatehouse in Britain at eight storeys, and an unfinished fragment of a house that was never built because both Lord Marney and his son died within two years. It matters because of the terracotta: the window mullions, the dolphin and shell cresting and the classical detail on the tombs inside the church are among the earliest Renaissance ornament in England, made by craftsmen working in an Italian idiom for an English brick building. The result is a Gothic silhouette wearing Renaissance jewellery, which is exactly what English architecture was doing in the 1520s.",Moulded terracotta cresting with dolphins and putti alongside four centred brick arches gives a narrow window of about 1515 to 1530. This combination barely exists in England outside a handful of East Anglian houses.
16,Burghley House,1555 to 1587,"Designed largely by William Cecil, Lord Burghley himself, with masons including John Symonds","Stamford, Lincolnshire PE9 3JY",I,1127501,TF 04778 06074,504778,306074,52.6423,-0.45292,Barnack and Clipsham limestone ashlar with lead roofs,"The largest and grandest house of the first Elizabethan generation, built over 32 years by the Queen's chief minister as a place to entertain her. The roofline is the point: obelisks, strapwork cresting, and chimneys disguised as pairs of Roman Doric columns, with a clock tower carrying an openwork pyramid. The courtyard frontispiece piles up the classical orders in tiers, a Franco Flemish habit picked up from pattern books rather than from Italy directly. Inside, the Baroque painted interiors by Antonio Verrio date from a later campaign of 1686 to 1697.","Classical detail applied to a still medieval courtyard plan, strapwork cresting and columnar chimneys place this between 1550 and 1590. Mullioned and transomed windows without any pediment over them confirm Elizabethan rather than Jacobean."
17,Hardwick Hall,1590 to 1597,"Robert Smythson for Elizabeth Talbot, Countess of Shrewsbury","Doe Lea, Chesterfield, Derbyshire S44 5QJ",I,1051617,SK 46305 63733,446305,363733,53.16871,-1.30879,Local sandstone ashlar with lead roofs and enormous areas of glass,"More glass than wall, as the rhyme goes, and the first English country house in which a single designing mind controls the whole elevation. Smythson made the windows grow taller storey by storey so the state rooms are announced from outside, and crowned the six towers with openwork stone balustrades spelling out ES for Elizabeth Shrewsbury. The plan is compact and symmetrical, with the hall running through the house rather than across it, which is a decisive break with medieval planning. The High Great Chamber upstairs keeps its original plaster frieze and tapestries.","Vast mullioned and transomed windows, a compact symmetrical plan and initials in openwork parapet balustrading are Elizabethan prodigy house features of roughly 1580 to 1600. No pediments, no giant order, no curved gables."
18,Hatfield House,1607 to 1611,"Robert Lyminge, with Simon Basil and probably some input from Inigo Jones","Hatfield, Hertfordshire AL9 5HX",I,1173363,TL 23715 08394,523715,208394,51.76057,-0.20884,Red brick with Portland and Ancaster stone dressings,"The definitive Jacobean prodigy house, built by Robert Cecil after he was obliged to swap his own house for the old palace at Hatfield. The plan is a broad E or U with projecting wings, and the centre carries a stone frontispiece of superimposed Doric, Ionic and Corinthian orders above an open loggia, now glazed. Inside, the Grand Staircase of about 1611 has carved newel figures and a lion, and the Marble Hall keeps its original screen. The brick and stone contrast, and the fussy skyline of shaped gables and clock turret, are the period signature.","Shaped or Flemish gables, a stone frontispiece with stacked orders on an otherwise brick house, and strapwork carving inside all indicate 1605 to 1625. It is one generation later than Hardwick and looks it."
19,"The Queen's House, Greenwich","1616 to 1619, completed 1629 to 1635",Inigo Jones for Anne of Denmark and then Henrietta Maria,"Romney Road, Greenwich, London SE10 9NF",I,1211481,TQ 38711 77697,538711,177697,51.48123,-0.00383,"Brick, rendered and painted white in imitation of ashlar, with Portland stone dressings","The first fully classical building in England and the point at which English architecture stops being medieval. Jones had been to Italy, had read Palladio and had bought his drawings, and here he applied the results without dilution: a plain white cube, a rusticated ground floor as a base, a piano nobile with a loggia of Ionic columns, and a balustraded flat roof. There is no gable, no strapwork, no applied ornament of any kind. The Tulip Stairs inside are the first geometric self supporting spiral staircase built in Britain.","Absolute symmetry, correct classical proportion, no gables and no decorative skyline in a building of the 1610s or 1630s means Jones or his immediate circle. Almost nothing else in England looks like this before 1660."
20,"The Banqueting House, Whitehall",1619 to 1622,Inigo Jones for James I,"Whitehall, Westminster, London SW1A 2ER",I,1357353,TQ 30166 80069,530166,180069,51.50457,-0.12594,"Originally three types of stone, refaced entirely in Portland stone in 1829 by Sir John Soane","The only substantial survivor of the Palace of Whitehall and the most influential classical facade in England. Jones set superimposed Ionic and Composite orders over a rusticated base, with the columns engaged and the bays defined by pilasters at the ends, producing a facade that could be copied straight into any Georgian town house a century later. The interior is a double cube, 110 by 55 by 55 feet, a single undivided room. Rubens painted the ceiling in 1636 for Charles I, who was executed on a scaffold outside the building in 1649.","Two orders correctly superimposed, a rusticated base, alternating segmental and triangular window pediments and a balustraded parapet mark this as the 1620s. The uniform Portland stone surface is Soane's 1829 refacing, not original."
21,St Paul's Cathedral,1675 to 1710,Sir Christopher Wren,"St Paul's Churchyard, City of London EC4M 8AD",I,1079157,TQ 32042 81141,532042,181141,51.51377,-0.09852,Portland limestone with a brick cone supporting the dome,"The only English cathedral built to a single design by a single architect in his own lifetime, and the great English essay in Baroque classicism restrained by Protestant caution. The dome is structurally three domes: an inner masonry dome for the interior, a hidden brick cone carrying the stone lantern, and an outer timber and lead dome for the skyline. The screen walls along the nave hide flying buttresses and give the building a false second storey, which is a piece of urban stagecraft. The west towers of 1705 to 1708 are Wren at his most Baroque.","Portland stone, coupled Corinthian columns, a great drum and dome, and swags and cherub heads carved by Grinling Gibbons and his circle all say 1675 to 1710. Compare the restraint here with Vanbrugh a decade later."
22,Royal Hospital Chelsea,1682 to 1692,Sir Christopher Wren for Charles II,"Royal Hospital Road, Chelsea, London SW3 4SR",I,1226301,TQ 27972 78104,527972,178104,51.48741,-0.15824,"Red brick with Portland stone dressings, slate roofs","A home for old soldiers, planned around three courts open to the river, and the model for institutional building in England for the next 150 years. Wren's language here is deliberately plain: warm red brick, sparingly used Portland stone, a giant Doric portico at the centre and an octagonal domed lantern over the vestibule. The Great Hall and the Chapel occupy the two arms of the central block and are mirror images of each other. The severity is programmatic, since this is charity architecture, and the effect is dignity achieved through proportion alone.",Plain red brick with stone quoins and a giant order confined to a central portico is Wren institutional work of the 1680s. Segmental headed windows with thick glazing bars and a modillion cornice confirm the date.
23,Chatsworth House,1687 to 1707,"William Talman (south and east fronts), Thomas Archer (north); later remodelling by Sir Jeffry Wyatville, 1820 to 1827","Bakewell, Derbyshire DE45 1PP",I,1373871,SK 26022 70104,426022,370104,53.22735,-1.61167,Local gritstone ashlar with lead roofs,"An Elizabethan house rebuilt front by front around its original courtyard, so the four elevations are of different dates and different tempers. Talman's south front of 1687 is the first fully Baroque facade on an English country house, with a giant Ionic order on a rusticated base and a balustraded parapet carrying urns. Archer's north front of 1705 curves and swaggers by comparison. Wyatville's long north wing of the 1820s adds a Regency sobriety, and reading the joins between these campaigns from the garden is one of the best exercises in phasing in England.","Giant order pilasters on a rusticated base with a flat balustraded roofline is English Baroque of about 1690 to 1710. The nineteenth century wing is longer, lower and much more regular, with plate glass in the sashes."
24,Castle Howard,"1699 to 1712, west wing completed 1753 to 1759",Sir John Vanbrugh with Nicholas Hawksmoor for the 3rd Earl of Carlisle; west wing by Sir Thomas Robinson,"York, North Yorkshire YO60 7DA",I,1316030,SE 71635 70088,471635,470088,54.12167,-0.90547,Ashlar limestone with lead and copper dome,"Vanbrugh's first building, designed with no architectural training whatsoever, and the first English private house to be crowned with a dome. The composition is theatrical: a domed central block with a giant Corinthian order, flanked by lower quadrant wings that sweep outward to service courts, all set in a designed landscape scattered with a mausoleum, a temple and a pyramid. Hawksmoor supplied the technical competence and much of the detail. The west wing, added half a century later by Sir Thomas Robinson in a cool Palladian manner, deliberately refuses to match, and the clash is instructive.","Massive rusticated masonry, a giant order, a dome on a private house and heavy carved trophies and urns are English Baroque of 1700 to 1725. The plainer Palladian wing with its pedimented centre is 1750s."
25,Blenheim Palace,1705 to 1722,Sir John Vanbrugh with Nicholas Hawksmoor for the 1st Duke of Marlborough,"Woodstock, Oxfordshire OX20 1UL",I,1052912,SP 44124 16055,444124,216055,51.84136,-1.36095,Oxfordshire limestone ashlar,"A house built as a national monument to a military victory, paid for by Parliament and fought over bitterly by the Duchess and her architect. The scale is enormous and the language is deliberately martial: heavy rusticated masonry, a giant Corinthian portico, corner towers carrying finials shaped as inverted fleurs de lys with British lions crushing French cocks. Vanbrugh understood mass and silhouette better than any English architect before or since, and the building is composed to be read from a distance across Capability Brown's later lake, added from 1764.","Very heavy rustication, a giant order, dramatic skyline finials and colonnaded quadrant links are Vanbrugh's English Baroque, roughly 1700 to 1725. The naturalistic landscape park with a serpentine lake is a later 1760s overlay."
26,"Christ Church, Spitalfields",1714 to 1729,Nicholas Hawksmoor,"Commercial Street, Spitalfields, London E1 6LY",I,1357795,TQ 33748 81780,533748,181780,51.51911,-0.07371,Portland limestone ashlar with brick to the flanks,"One of the churches built under the Fifty New Churches Act of 1711, and the most original of Hawksmoor's six. He fused a Tuscan portico with a tall square tower and a spire, so that from the west the whole front reads as a single triumphal arch with a needle above it. The mouldings are exaggerated, the keystones are oversized, and the proportions are deliberately strange, all of which is Hawksmoor thinking about Roman and primitive architecture rather than about Palladio. The galleried interior was reordered in 1866 and restored to its 1720s state between 1976 and 2004.","Portland stone, oversized Tuscan columns, heavy blocky mouldings and a spire growing out of a portico are Hawksmoor and the 1711 Act churches, so 1712 to 1730. Nothing else in London handles classical detail this aggressively."
27,Chiswick House,1727 to 1729,"Richard Boyle, 3rd Earl of Burlington, with interiors by William Kent","Burlington Lane, Chiswick, London W4 2RP",I,1079607,TQ 21008 77524,521008,177524,51.48373,-0.25869,Brick faced in stucco with Portland stone dressings and a slate roof,"A villa built not to live in but to house a collection and to make an argument, and the founding document of English Palladianism. Burlington took Palladio's Villa Capra and Scamozzi's Rocca Pisana and produced a compact block with an octagonal domed saloon, a hexastyle Corinthian portico reached by a divided stair, and Venetian and Diocletian windows lifted straight from Roman baths. Kent's interiors are richer and more Baroque than the exterior suggests. The garden, laid out with Charles Bridgeman, is one of the earliest steps away from formal planting toward the English landscape style.","A small symmetrical villa with a temple portico, a shallow dome and thermal or Diocletian windows in the drum means English Palladian, 1720 to 1750. Look for obelisk chimneys, a Burlington circle mannerism."
28,Holkham Hall,1734 to 1764,"William Kent with Lord Burlington and Matthew Brettingham, for Thomas Coke, 1st Earl of Leicester","Holkham, Wells-next-the-Sea, Norfolk NR23 1AB",I,1373659,TF 88412 42870,588412,342870,52.95012,0.80304,"Locally made pale yellow brick, sometimes called white brick, with slate roofs","Palladianism at full country house scale, built over 30 years and finished after its patron's death. The plan is a central block with four detached pavilions linked by corridors, a strictly Palladian arrangement, and the exterior is austere to the point of severity, with almost no carved ornament and a pale brick that was chosen to imitate ancient stone. The Marble Hall is the great set piece, an apsed space modelled on a Roman basilica, lined in Derbyshire alabaster with a colonnade of fluted Ionic columns and a coffered ceiling.","Pale brick, a rigidly symmetrical block and pavilion plan, tripartite Venetian windows and pedimented centrepieces without Baroque movement place this at 1730 to 1765. Compare the flatness here with Vanbrugh's modelling a generation earlier."
29,Strawberry Hill House,1749 to 1776,"Horace Walpole with his Committee of Taste: John Chute, Richard Bentley and Thomas Pitt; later work by James Essex","268 Waldegrave Road, Twickenham, London TW1 4ST",I,1261987,TQ 15817 72315,515817,172315,51.438,-0.33512,"Brick rendered and lime washed white, with papier mache and plaster vaults imitating stone","The building that launched the Gothic Revival, assembled over 27 years as a deliberately asymmetrical, picturesque accretion so that it would look as though it had grown. Walpole and his friends copied details from tombs, screens and printed antiquarian sources: the library bookcases derive from a tomb in Old St Paul's, the Gallery vault from Henry VII's chapel, executed in papier mache. It is theatrical rather than archaeological, and everything is thin, light and painted. The house directly produced the Gothic novel, since Walpole wrote The Castle of Otranto here in 1764.","Gothic detail rendered in plaster, papier mache and whitened render rather than carved stone, applied asymmetrically to a domestic plan, is Georgian Gothick of 1740 to 1790. Victorian Gothic Revival is heavier, structural and archaeologically correct."
30,"The Royal Crescent, Bath",1767 to 1774,John Wood the Younger,"Royal Crescent, Bath, Somerset BA1 2LR",I,1394736,ST 74483 65446,374483,165446,51.38748,-2.36809,"Bath oolitic limestone ashlar to the front, rubble and brick behind, Welsh slate roofs","Thirty terraced houses treated as one palace facade, curved into a semi ellipse facing open parkland, and the model for speculative urban development across Britain and Ireland for the next 60 years. A giant Ionic order of 114 engaged columns runs the length of the front above a plain rusticated ground floor. The plots behind were sold individually and each owner built to their own plan, which produces the famous Queen Anne front and Mary Anne back: strict uniformity on the show elevation, complete chaos at the rear.","Ashlar Bath stone, a giant order over a plain base, sash windows with slim glazing bars and a continuous balustrade or parapet indicate 1760 to 1790. Window proportions diminishing storey by storey is the Georgian tell."
31,Somerset House,1776 to 1796; wings 1829 to 1834 and 1851 to 1856,"Sir William Chambers; later wings by Sir Robert Smirke and Sir James Pennethorne, 1851 to 1856","Strand, London WC2R 1LA",I,1237041,TQ 30725 80870,530725,180870,51.51164,-0.11759,"Portland limestone over brick, on brick vaulted river arches","The first purpose built government office block in Britain, housing the Navy Board, the Royal Academy and the Learned Societies around a courtyard, with a river frontage that originally rose straight out of the Thames before the Embankment was built in the 1860s. Chambers was French trained and it shows in the crisp, dry, correct detailing and the rusticated arcades. The Strand front is deliberately modest, an eleven bay palace facade; the river front runs about 150 metres and is monumental. The Seamen's Waiting Hall and the great stairs are the best interiors.","Very correct, rather dry neoclassical detail, a rusticated ground storey with round arches, and a giant order above, all in Portland stone, is Chambers in the 1770s and 1780s. Later wings are plainer and use larger panes of glass."
32,The Iron Bridge,"1777 to 1779, opened 1781","Designed by Thomas Farnolls Pritchard, cast and erected by Abraham Darby III","Ironbridge, Telford, Shropshire TF8 7JP",I,1038659,SJ 67238 03396,367238,303396,52.62733,-2.48545,"Cast iron, around 378 tonnes of it, on stone abutments","The first arch bridge in the world made of cast iron, spanning 30.6 metres across the Severn gorge, and the founding monument of industrial architecture. What makes it remarkable is that nobody yet knew how to build in iron, so the joints are carpentry joints translated into metal: mortise and tenon, dovetails and blind wedges, with no bolts or rivets anywhere in the main structure. The members are also far heavier than they need to be, because the designers were working without any theory of the material's strength. It gave the surrounding town its name.","Cast iron with carpentry style joints and visibly over engineered members means the first generation of iron building, 1775 to 1800. Later nineteenth century ironwork uses bolts, rivets and much thinner sections, and wrought iron after about 1840."
33,"The Royal Pavilion, Brighton",1815 to 1823,"John Nash, remodelling Henry Holland's villa of 1787, for the Prince Regent","4-5 Pavilion Buildings, Brighton, East Sussex BN1 1EE",I,1380680,TQ 31273 04188,531273,104188,50.82236,-0.13767,"Bath stone facing and stucco over the earlier structure, with a cast iron frame carrying the domes and minarets","A seaside pleasure palace in which an Indian exterior wraps a Chinese interior on a cast iron frame, and one of the great acts of Regency invention. Nash took the onion domes, chattris and pierced screens from published views of Mughal India, then built them in a way no Indian builder would recognise: iron columns disguised as palm trees, and a Great Kitchen with cast iron palm capitals. The Music Room and Banqueting Room interiors by Frederick Crace and Robert Jones are Chinoiserie at its most theatrical. The whole thing cost the Crown a fortune and was sold to Brighton in 1850.","Onion domes and minarets in stucco and Bath stone over an iron frame belong to the Regency exotic, 1810 to 1830. Cast iron used structurally but disguised decoratively is a very reliable indicator of this decade."
