no,name,date,architect,location,grade,nhle_list_entry,ngr,easting,northing,latitude,longitude,function,materials,description,how_to_date_it
62,"Quay House, the Smallest House in Great Britain","16th century, last occupied 1900",Builder unknown,"The Quay, Conwy, Conwy County Borough LL32 8BB",II,,SH 78290 77690,278290,377690,53.28200,-3.82800,Terraced cottage,"Rubble stone with lime render, slate roof, painted red","A one up one down infill house wedged against the town wall on Conwy quay, 3.05 metres by 1.8 metres, with a staircase too narrow for its last tenant, a fisherman of six foot three who could not stand upright in it. Condemned as unfit in 1900 and saved as a curiosity by the owner, who toured Britain to prove nothing smaller existed. It is a scrap of ordinary sixteenth century town building that survived only by being too odd to demolish, which is the opposite of how the rest of this list survived.","Small town vernacular barely changes for two hundred years, so read it as a wide bracket rather than a decade. Rubble walls, a steep slate pitch, tiny unequal openings and a chimney enormous in proportion to the plan are pre Georgian, roughly 1500 to 1750. Regular sashes and symmetry on the neighbours are the later refronting."
63,Wales Millennium Centre,2002 to 2004,Jonathan Adams of Percy Thomas Architects; inscription by Gwyneth Lewis,"Bute Place, Cardiff Bay, Cardiff CF10 5AL",,,ST 19400 74200,319400,174200,51.46500,-3.16200,Arts centre,"Bronzed stainless steel shell over a steel frame, with banded Welsh slate from Penrhyn, Ffestiniog and Corris, and glass","A national arts centre built for Wales after an earlier opera house scheme was abandoned, and designed to look like it grew out of the ground it stands on. The slate is laid in bands of different Welsh quarries so the walls read as strata, and the bronzed shell above is meant to suggest the hull of a ship on a dock that once shipped coal. Gwyneth Lewis's two lines, one Welsh and one English, are cut clean through the shell so they light the foyer by day and glow at night. The lettering is the building's structure, not applied to it.","Millennium buildings of about 1998 to 2010 look like this: a curved metal shell over a fully glazed public frontage, regionally sourced material used symbolically rather than structurally, and a big legible gesture aimed at civic identity. It is a generation past High Tech, which exposes its services, and past Postmodernism, which quotes classical form."
64,Raglan Castle,"1432 to 1469, Elizabethan remodelling 1560s to 1580s, slighted 1646","Begun for Sir William ap Thomas, continued by his son William Herbert, Earl of Pembroke","Raglan, Usk, Monmouthshire NP15 2BT",I,,SO 41500 08350,341500,208350,51.76400,-2.85200,Castle,Old Red Sandstone rubble and ashlar with Bath stone dressings,"The last true castle built in England or Wales, and one built for magnificence rather than war. Ap Thomas began the hexagonal Great Tower, the Yellow Tower of Gwent, in the 1430s, and his son turned the rest into a courtyard palace with a gatehouse of real swagger. The Somersets added long galleries and formal gardens in the Elizabethan decades. It held out for Parliament's siege in 1646 longer than almost anywhere, and was then deliberately slighted, which is why the Great Tower stands with one side torn away.","Look at the windows. Large mullioned and transomed openings in a castle mean the fifteenth century or later, when defence has become display. Machicolations and gunports here are as much ornament as armament, and the tall stacks and traceried hall windows are those of a house wearing a castle's clothes."
65,Broadway Tower,1797 to 1799,James Wyatt for the 6th Earl of Coventry,"Broadway, Worcestershire WR12 7LB",II,,,,,52.02421,-1.83576,Folly,Cotswold limestone rubble with ashlar dressings,"A folly on the second highest point of the Cotswolds, built so the Countess of Coventry could see whether a beacon lit there was visible from her house twenty two miles away. Three round turrets, battlements and gargoyles, none of it defensive.","Castle language used ornamentally rather than structurally is the tell. Battlements too thin to stand behind, turrets carrying nothing, and neatly squared ashlar dressings mean Georgian Gothick of about 1780 to 1810, not a real medieval tower."
66,House in the Clouds,1923,F Forbes Glennie for Glencairn Stuart Ogilvie,"Thorpeness, Suffolk IP16 4NX",II,,,,,52.18190,1.60944,Water tower,Weatherboarded timber casing on a steel water tank over a rendered base,"A water tower for a purpose-built holiday village, disguised as a cottage hoisted seventy feet into the air. The weatherboarded box at the top is the casing round the tank; the rooms are in the tower beneath it.","The proportions give it away: no cottage is that narrow and that tall. Weatherboarding, casements and a hipped tiled roof are 1920s cottage vocabulary wrapped round a structure whose real job is engineering."
67,"Beach Lighthouse, Fleetwood",1840,Decimus Burton for Sir Peter Hesketh-Fleetwood,"The Esplanade, Fleetwood, Lancashire FY7 6QH",II,,,,,53.92855,-3.00909,Lighthouse,Sandstone ashlar,"The lower of two lighthouses set inland along a street, so a ship lining them up is running the safe channel into the Wyre. Part of Burton's planned new town, which is why a navigation light looks like civic architecture.","Greek Revival detail on a working structure dates it. A plain ashlar tower on a stepped square base, a correct cornice, and no ornament beyond mouldings: classical proportion applied to infrastructure is 1820 to 1845."
70,"Young V&A, Bethnal Green",1872,"James William Wild, re-using the iron frame of the 1856 Brompton Boilers","Cambridge Heath Road, Bethnal Green, London E2 9PA",II,,,,,51.52906,-0.05489,Museum,Red brick casing over a prefabricated wrought iron and glass frame,"The iron structure was built at South Kensington in 1856, dismantled, re-erected here and wrapped in a brick shell. The inside is fifteen years older than the outside, and the two are of quite different tempers.","Read the inside and outside as separate buildings. Exposed iron columns and roof are prefabricated 1850s exhibition engineering; the plain round-arched brick box round them, with its terracotta frieze, is 1870s."
71,Raby Castle,1378,John Lewyn,Raby with Keverstone,I,,,,,54.59092,-1.80175,Castle,,Castle. Grade I listed.,
72,"7 and 8 King Street, Bristol",1665,,City of Bristol,II*,,,,,51.45180,-2.59370,Building,,Building. Grade II* listed.,
73,Orangery,1761,William Chambers,London Borough of Richmond upon Thames,I,,,,,51.48330,-0.29311,Orangery,,Orangery. Grade I listed.,
74,New Century House,1963,Gordon Tait,Manchester,II,,,,,53.48710,-2.23980,Tower block,,Tower block. Grade II listed.,
75,Shire Hall,1819,,Hereford,II*,,,,,52.05609,-2.71290,Public offices,,Public offices. Grade II* listed.,
76,"Old City Gaol, Bristol",1832,Richard Shackleton Pope,City of Bristol,II,,,,,51.44626,-2.59803,Structure,,Structure. Grade II listed.,
77,Jaywick Martello Tower,1809,,Jaywick,II,,,,,51.77270,1.09488,Martello tower,,Martello tower. Grade II listed.,
78,Buckingham Old Gaol,1993,,Buckingham,II*,,,,,52.00090,-0.98648,Prison,,Prison. Grade II* listed.,
79,Hartland Point Lighthouse,1874,James Nicholas Douglass,Hartland,II,,,,,51.02214,-4.52548,Lighthouse,,Lighthouse. Grade II listed.,
80,Burrowlee House,1711,,Sheffield,II,,,,,53.40670,-1.49906,House,,House. Grade II listed.,
81,St George's Hall,1854,Charles Robert Cockerell,Liverpool,I,,,,,53.40860,-2.98010,Concert hall,,Concert hall. Grade I listed.,
82,Croome Court,1760,Lancelot Brown,Croome D'Abitot,I,,,,,52.09960,-2.16938,Country house,,Country house. Grade I listed.,
83,Royal Liver Building,1911,Walter Aubrey Thomas,Liverpool,I,,,,,53.40580,-2.99580,Office building,,Office building. Grade I listed.,
84,Beach Lighthouse,1840,,Fleetwood,II,,,,,53.92855,-3.00909,Lighthouse,,Lighthouse. Grade II listed.,
85,Luton Hoo,1767,Robert Adam,Hyde,I,,,,,51.85464,-0.39770,Country house,,Country house. Grade I listed.,
86,Lansdown Crescent,1793,John Palmer,Bath and North East Somerset,I,,,,,51.39250,-2.36583,Terraced housing,,Terraced housing. Grade I listed.,
87,Helmsley Castle,1385,,Helmsley,I,,,,,54.24470,-1.06389,Castle,,Castle. Grade I listed.,
88,Cranbury House,1790,George Dance the Younger,Hursley,I,,,,,51.00680,-1.36533,Country house,,Country house. Grade I listed.,
89,Grovelands House,1797,John Nash,London Borough of Enfield,I,,,,,51.63220,-0.11750,House,,House. Grade I listed.,
90,Martello Tower No. 15,1806,,Hythe,II,,,,,51.06223,1.07001,Martello tower,,Martello tower. Grade II listed.,
91,Cromford Mill,1771,,Cromford,I,,,,,53.10900,-1.55600,Mill,,Mill. Grade I listed.,
92,Upnor Castle,1567,Richard Lee,Frindsbury Extra,I,,,,,51.40690,0.52686,Castle,,Castle. Grade I listed.,
93,Nan Tait Centre,1903,,Barrow-in-Furness,II,,,,,54.11541,-3.22967,Office building,,Office building. Grade II listed.,
94,Chorlton Old Hall,1666,,Chorlton,II*,,,,,53.02830,-2.80757,Country house,,Country house. Grade II* listed.,
95,Pusey House,1884,,Oxford,II,,,,,51.75639,-1.26028,House,,House. Grade II listed.,
96,No Man's Land Fort,1867,,Nettlestone and Seaview,II,,,,,50.74010,-1.09493,Sea fort,,Sea fort. Grade II listed.,
97,Bretton Hall,1852,,West Bretton,II*,,,,,53.61070,-1.57290,Country house,,Country house. Grade II* listed.,
98,Barbican Estate,1982,"Chamberlin, Powell and Bon",City of London,II,,,,,51.51919,-0.09461,Tower block,,Tower block. Grade II listed.,
99,Colchester Castle,1069,Gundulf,Colchester,I,,,,,51.89059,0.90305,Castle,,Castle. Grade I listed.,
100,Provender,1342,,"Norton, Buckland and Stone",II*,,,,,51.31210,0.83071,Country house,,Country house. Grade II* listed.,
101,Lincoln Castle,1068,,Lincoln,I,,,,,53.23490,-0.54090,Castle,,Castle. Grade I listed.,
102,"Gray's Almshouses, Taunton",1696,,Taunton,I,,,,,51.01472,-3.09800,Almshouses,,Almshouses. Grade I listed.,
103,Gwrych Castle,1819,Thomas Rickman,Llanddulas and Rhyd-y-Foel,I,,,,,53.28354,-3.60959,Castle,,Castle. Grade I listed.,
104,Horton Rounds,1966,Arthur A. J. Marshman,Hackleton,II,,,,,52.18033,-0.79998,House,,House. Grade II listed.,
105,Martello Tower Z,1809,,Alderton,II,,,,,52.02572,1.44018,Martello tower,,Martello tower. Grade II listed.,
106,Shire Hall,1724,,Monmouth,I,,,,,51.81200,-2.71536,Courthouse,,Courthouse. Grade I listed.,
107,HM Prison Reading,1844,,Reading,II,,,,,51.45646,-0.96408,Prison,,Prison. Grade II listed.,
108,Bolton Castle,1379,John Lewyn,Castle Bolton with East and West Bolton,I,,,,,54.32210,-1.94991,Castle,,Castle. Grade I listed.,
109,Shireoaks Hall,1617,,Shireoaks,II*,,,,,53.31940,-1.17218,House,,House. Grade II* listed.,
110,Whiteford Lighthouse,1854,John Bowen,"Llangennith, Llanmadoc and Cheriton",II*,,,,,51.65250,-4.25102,Lighthouse,,Lighthouse. Grade II* listed.,
111,Bylaugh Hall,1943,"Charles Barry, Jr.",Bylaugh,II*,,,,,52.72809,1.01280,Country house,,Country house. Grade II* listed.,
112,Halecroft,1890,Edgar Wood,Trafford,II*,,,,,53.37350,-2.31981,House,,House. Grade II* listed.,
113,Saffron Walden Castle,1141,,Saffron Walden,I,,,,,52.02550,0.24200,Castle ruins,,Castle ruins. Grade I listed.,
114,Hathershaw Hall,1694,,Oldham,II*,,,,,53.52520,-2.11440,Structure,,Structure. Grade II* listed.,
115,New Brighton Lighthouse,1830,,Wirral,II*,,,,,53.44430,-3.04231,Lighthouse,,Lighthouse. Grade II* listed.,
116,Riber Castle,1862,,Matlock Town,II,,,,,53.12780,-1.54300,Country house,,Country house. Grade II listed.,
117,Snatchup End Cottages,1898,Edwin Lutyens,Dacorum,II*,,,,,51.73400,-0.46482,Cottage,,Cottage. Grade II* listed.,
118,Martello Tower T,1809,,Felixstowe,II,,,,,51.97947,1.38681,Martello tower,,Martello tower. Grade II listed.,
119,Belsay Castle,1439,,Belsay,I,,,,,55.10200,-1.86900,Castle,,Castle. Grade I listed.,
120,Donnington Castle,1386,,Shaw cum Donnington,I,,,,,51.41970,-1.33810,Castle,,Castle. Grade I listed.,
121,Holborn Bars,1901,Alfred Waterhouse,London Borough of Camden,II*,,,,,51.51870,-0.11025,Building,,Building. Grade II* listed.,
122,Scott Polar Research Institute,1920,,Cambridge,II,,,,,52.19840,0.12624,Institute,,Institute. Grade II listed.,
123,Ashdown House,1662,,Ashbury,I,,,,,51.53620,-1.59630,Country house,,Country house. Grade I listed.,
124,Norham Castle,1121,,Norham,I,,,,,55.72181,-2.15076,Castle,,Castle. Grade I listed.,
125,Snape Maltings,1967,,Tunstall,II,,,,,52.16340,1.49636,Maltings,,Maltings. Grade II listed.,
126,The First Duke's Greenhouse,1697,,Chatsworth,II*,,,,,53.22800,-1.60985,Glasshouse,,Glasshouse. Grade II* listed.,
127,Albert Hall,1908,Albert Edward Lambert,City of Nottingham,II,,,,,52.95431,-1.15625,Building,,Building. Grade II listed.,
128,Hellaby Hall,1690,,Hellaby,II*,,,,,53.42480,-1.24037,Country house,,Country house. Grade II* listed.,
129,Kedleston Hall,1765,Robert Adam,Kedleston,I,,,,,52.95917,-1.53583,Country house,,Country house. Grade I listed.,
130,Hemyock Castle,1380,http://www.wikidata.org/.well-known/genid/8a2d73e0e89cadb945ba3f5a3a415a1e,Hemyock,II*,,,,,50.91250,-3.23156,Castle,,Castle. Grade II* listed.,
131,Smeaton's Tower,1759,John Smeaton,City of Plymouth,I,,,,,50.36440,-4.14183,Lighthouse,,Lighthouse. Grade I listed.,
132,Skerries Lighthouse,1717,William Trench,Cylch-y-Garn,II*,,,,,53.42122,-4.60817,Lighthouse,,Lighthouse. Grade II* listed.,
133,Mansion House,1758,George Dance the Elder,City of London,I,,,,,51.51325,-0.08936,Mansion,,Mansion. Grade I listed.,
134,The Lake Pavilions,1730,John Vanbrugh,Stowe,I,,,,,52.02620,-1.01444,Structure,,Structure. Grade I listed.,
135,Reddish House,1525,,Broad Chalke,II,,,,,51.02668,-1.94646,House,,House. Grade II listed.,
136,Kettlethorpe Hall,1727,,Wakefield,I,,,,,53.64583,-1.49778,House,,House. Grade I listed.,
137,Beaumont House,1705,James Gibbs,Old Windsor,II*,,,,,51.44970,-0.57689,Office building,,Office building. Grade II* listed.,
138,Church of St Mary and St Martin,1259,,Chudleigh,I,,,,,50.60340,-3.60220,Parish church,,Parish church. Grade I listed.,
139,Barnwell Priory,1092,,Cambridge,II*,,,,,52.20960,0.13900,Priory ruins,,Priory ruins. Grade II* listed.,
140,"St John the Evangelist's Church, Ashton Hayes",1932,Edwin Hugh Shellard,Ashton Hayes,II,,,,,53.22300,-2.73970,Parish church,,Parish church. Grade II listed.,
141,"Church of St Mary and All Saints, Chesterfield",1500,,Chesterfield,I,,,,,53.23611,-1.42417,Parish church,,Parish church. Grade I listed.,
142,Leicester Cathedral,1086,,City of Leicester,II*,,,,,52.63472,-1.13694,Cathedral,,Cathedral. Grade II* listed.,
143,Maesyronnen Chapel,1640,,Glasbury,I,,,,,52.06210,-3.20250,Chapel,,Chapel. Grade I listed.,
144,St Hilary's Chapel,1334,,Denbigh,I,,,,,53.18180,-3.41985,Tower,,Tower. Grade I listed.,
145,Langley Chapel,1564,,Ruckley and Langley,I,,,,,52.59670,-2.68300,Chapel,,Chapel. Grade I listed.,
146,York Minster,1220,,York,I,,,,,53.96194,-1.08194,Cathedral,,Cathedral. Grade I listed.,
147,Burnham Norton Friary,1421,,Burnham Norton,II*,,,,,52.95090,0.73480,Friary ruins,,Friary ruins. Grade II* listed.,
